title,price_gbp,price_inr,rating,in_stock,category
A Light in the Attic,51.0,5380.5,3,True,Poetry
Tipping the Velvet,53.0,5591.5,1,True,Historical Fiction
Soumission,50.0,5275.0,1,True,Fiction
Sharp Objects,47.0,4958.5,4,True,Mystery
Sapiens: A Brief History of Humankind,54.0,5697.0,5,True,History
The Requiem Red,22.0,2321.0,1,True,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.0,3481.5,4,True,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.0,1793.5,3,True,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.0,2321.0,4,True,Default
The Black Maria,52.0,5486.0,1,True,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.0,1371.5,2,True,Default
Shakespeare's Sonnets,20.0,2110.0,4,True,Poetry
Set Me Free,17.0,1793.5,5,True,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.0,5486.0,5,True,Sequential Art
Rip it Up and Start Again,35.0,3692.5,5,True,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.0,6013.5,3,True,Music
Olio,23.0,2426.5,1,True,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.0,3903.5,1,True,Science Fiction
Libertarianism for Beginners,51.0,5380.5,2,True,Politics
It's Only the Himalayas,45.0,4747.5,2,True,Travel
In Her Wake,12.0,1266.0,1,True,Thriller
How Music Works,37.0,3903.5,2,True,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.0,3165.0,3,True,Food and Drink
Chase Me (Paris Nights #2),25.0,2637.5,5,True,Romance
Black Dust,34.0,3587.0,5,True,Romance
Birdsong: A Story in Pictures,54.0,5697.0,3,True,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.0,2321.0,3,True,Default
Aladdin and His Wonderful Lamp,53.0,5591.5,3,True,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.0,4220.0,5,True,Nonfiction
Wall and Piece,44.0,4642.0,4,True,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.0,1793.5,5,True,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.0,3270.5,3,True,Nonfiction
The Elephant Tree,23.0,2426.5,5,True,Thriller
The Bear and the Piano,36.0,3798.0,1,True,Childrens
Sophie's World,15.0,1582.5,5,True,Philosophy
Penny Maybe,33.0,3481.5,3,True,Default
Maude (1883-1993):She Grew Up with the country,18.0,1899.0,2,True,Default
"In a Dark, Dark Wood",19.0,2004.5,1,True,Mystery
Behind Closed Doors,52.0,5486.0,4,True,Thriller
You can't bury them all: Poems,33.0,3481.5,2,True,Poetry
Slow States of Collapse: Poems,57.0,6013.5,3,True,Poetry
Reasons to Stay Alive,26.0,2743.0,2,True,Nonfiction
Private Paris (Private #10),47.0,4958.5,5,True,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.0,2426.5,5,True,Nonfiction
Without Borders (Wanderlove #1),45.0,4747.5,2,True,New Adult
When We Collided,31.0,3270.5,1,True,Contemporary
"We Love You, Charlie Freeman",50.0,5275.0,5,True,Fiction
Untitled Collection: Sabbath Poems 2014,14.0,1477.0,4,True,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.0,4642.0,4,True,Nonfiction
Unicorn Tracks,18.0,1899.0,3,True,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.0,2637.5,1,True,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.0,1688.0,1,True,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.0,3270.5,3,True,Nonfiction
This One Summer,19.0,2004.5,4,True,Sequential Art
Thirst,17.0,1793.5,5,True,Fiction
The Torch Is Passed: A Harding Family Story,19.0,2004.5,1,True,Add a comment
The Secret of Dreadwillow Carse,56.0,5908.0,1,True,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.0,5908.0,1,True,Food and Drink
The Past Never Ends,56.0,5908.0,4,True,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.0,4747.5,3,True,Young Adult
The Nameless City (The Nameless City #1),38.0,4009.0,4,True,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.0,5697.0,3,True,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.0,4431.0,4,True,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.0,2426.5,4,True,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.0,1688.0,3,True,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.0,2110.0,5,True,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.0,3903.5,1,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.0,5908.0,1,True,Nonfiction
The Death of Humanity: and the Case for Life,58.0,6119.0,4,True,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.0,5169.5,3,True,Health
The Art Forger,40.0,4220.0,3,True,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.0,2004.5,1,True,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.0,3376.0,5,True,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.0,4325.5,4,True,Nonfiction
Soul Reader,39.0,4114.5,2,True,Default
Security,39.0,4114.5,2,True,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.0,2637.5,3,True,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.0,5380.5,2,True,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.0,2004.5,2,True,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.0,5275.0,3,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.0,1371.5,5,True,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.0,1371.5,5,True,Fantasy
"Pop Gun War, Volume 1: Gift",18.0,1899.0,1,True,Sequential Art
